,text,label
45,"1. Improve handover procedures between nursing staff. 2. Joint feedback/handover session post-operation between consultant, physio, nurse, radiologist (relevant staff) - notes were sometimes vague contributing to conflict/confusion between staff. Also avoids need for patient to act as a ‘bridge’ between personnel, which can be unreliable particularly post-op 3. Little/no offering of mental health support that I was aware of (I was supported by partner but others are not so lucky) - a recognised point of contact to offer support could be important to some. 4. Offer pre-orders for food to better understand demand and prioritise orders. 5. Consistent use of day plan board by all care staff (maybe digitise via tv and mychart as an option?) - helps gives day structure and key to understanding plan of care from all contributing personnel. 6. Ensure patient has sufficient support after leaving the hospital - a questionnaire or discussion is essential (again im lucky to have partner support at home but others not so lucky) walking up and down few steps shouldn’t be the only criteria to ensure patient safety and independence at home.  Please note this should be seen as positive constructive feedback - I was overall very pleased with my experience.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
46,1. Make sure all details are communicated as far in advance as possible. Chasing around 48 hours before just creates stress.  2. A nursing station on the ward would be helpful.  3. Set timescales and keep to them. Nursing team could be away for long periods of time and meant we were unaware of what happens next,[1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
47,"1. More physio to actually rehabilitate me. I was taken to the level of getting in/out of bed and a few steps with a walking aid.
2. Some of the nurses were abrupt. Rude and made me afraid to ask for assistance. ",[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
48,"1. See above - your staff could be significantly more polite and diplomatic when asking patients to settle their bills, given that such patients are not permitted past the Reception before they have done so.  2. See above - your staff should be better trained to give patients the correct information on the whereabouts of Consultants on your premises.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
49,"1. Some confusion about initial booking: 2 scans were required but were booked hours apart
2. MRI table extremely flat and uncomfortable for long position; are you sure some pillows couldn't have been used ?
3. In pre-booking, form on arrival and nurse interview I went THREE TIMES through the same quiz about metal objects etc. Obviously important, but you will get more thoughtful answers if you ask once.
4. Cleveland Clinic sends out too many, overlong questionnaires;",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
50,"1. Support for College and Gp registration and... 
2. Gifts such as financial vouchers for continuing education and sports for a better mood or food and hygiene.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
51,"1. The nurses or doctors didn’t tell me how the surgery went afterwards, but they did tell me wife though. 

2, the food is unbeatable, and I am not fussy.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
52,"1. The telephone admission clerk called Anne may be better suited to cleaning due to her poor social and telephone skills.

2. The delay to my advised theatre slot was not communicated at all. As a disabled patient, I found this inconsiderate to the point of  rudeness, or at best arrogant.

3.The facilities are magnificent.

The staff, excluding consultants, whilst new, were knowledgable and helpful - and certainly tried their very best.

4. The consultant in my case gave the impression of always being in a hurry, which was probably the case, and has very poor case management skills.

5. The costs are not competitive and appear to be 'price gouging' when compared with  the costs of identical proceedures in other private hospitals in Geater London.",[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
53,10 out if 10 for the service and help provided,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
54,100% efficiently a courtesy utterly professional service.,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
55,"100% positive experience - [name removed] was so understanding and took into account my thoughts and feelings as well as my sons! We felt like we were involved in the process throughout rather than it just being ‘done to us’.

[name removed] made regular contact with myself to keep me up to date and was understanding when I had to reschedule. She was consistent in scheduling and attending  my sons appointments and he really looked forward to them. He really felt like he was listened to and the techniques and strategies he was taught have been invaluable. I know that my son will use them going forward and I feel confident that my husband and I understand what he has been taught and can help him if he needs support.",[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
56,111 Should have said the walk in doesn't take appointments.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
57,111 response time of 63 minutes is very disappointing,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
58,"11th April - Admissions was incredibly unorganized for a private hospital. My 77 year old father was kept waiting in the reception for an hour+ with no information given and very basic instructions. I arrived at 6:45 for my appointment and was still not admitted at 07:50. 

The reception staff told us to wait at the chairs but no information was given at all. The single  admissions staff when they turned up were picking people up at random and not in order of arrival. This stressed my father as his surgery was booked in just under an hours time. 

In my view the communication was very poor during the admissions and could see no reason for the lack of coordination and the lateness of admissions. Unfortunately the admission service was disappointing considering it was self-paying procedure. Very disappointing and quite let down. 

Once on the ward on the fifth floor, the nurses were friendly, helpful and caring. They took time to care for my father before his surgery

Some highlights from time in the ward:

11 Apr - Kirie and Claudine were very attentive, friendly and helpful after surgery.
 Claudine took very good care of my father visiting every 10-15 mins and gave her full care and attention to my father. I was very impressed with support I saw. 

12th Apr - According to my father nurse Anita left him twice with a wet bed and only when he insisted something happened, she said she would ask Billy to change but on second occasionally she completely forgot.  Only when Billy came to do observations was this sorted.
One further occasional he had blood on his leg and she asked him to clean it himself. From observation she was keen to delegate work and not action anything herself. Charge Nurse Antonio was caring and had to step in to cover some of the behaviours.

14 Apr - Nurse Paolo was very patient providing care and consideration and helped with pain relief he was always at hand and spent an hour plus trying to clear blood clots using the irrigation. 

Sarah Wills Lee Urologist Nurse gave my father a lot of time and has a very caring nature. She provided exceptional care over the 4 days he was on the ward. I was also pleased with the outcome of the surgery conducted by Mr Nathan and he took time to visit me during my recovery. 

Overall the stay in the hospital was positive apart from the very unorganized admissions process and one day on the ward on 12 Apr.",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0.]
59,"15 min delay for waiting, but that can’t be helped.",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
60,1st class attention by everyone at the clinic.,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
61,"1st class care from a fantastic team. Special thanks to Candy, Claire, Hayley and Jasmine. Nothing was too much trouble. Caring and compassionate throughout my stay, good treatment and no delays, even for medication and discharge",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.]
62,2 individual night staff were less than professional and  in my opinion they would benefit from extra training. Felt under staffed as delayed response in getting back with information,[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
63,"2 members for exercise felt too long made it fun.
Good communication.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
64,2 of the reception staff where short tempered and bossy . When I asked them why they hadn’t put my NHS number in to the form they said ‘the form doesn’t have that option’ when clearly it was left blank on the registration form.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
65,2 years earlier would have been good! We have had no community support since the nurses were unable to change the catheter at home. Eventually the urology nurses at Heatherwood intervened and made the request as my daughter is very capable. Once again possibly due to pressure on the NHS.,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
66,24PP and Mr Toby Colgate Stone are brilliant .,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
67,"2hr long wait, but this is understandable as it is drop in and que system. Add a water dispenser, it gets hot in the waiting area.",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1.]
68,30 minute consultation would have been sufficient. 45 minutes to long.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
69,30min delay for appointment,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
70,4 hour wait time whist in pain.,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
71,4 sessions only a taste - a longer course would aid learning and motivation.,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
72,"4 stars instead of 5 for information only because I understood very little about the test results, even what some of them were for. Of course it was good to see that most of them were in the green zone. A clear simple explanation would have been great.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
73,6 hour wait.,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
74,6 week course was very informative and the accompanying book useful.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
75,7:45am arrival but no one is seen until 9am.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
76,8 sessions was received to 6 due to canullar illness on 2 sessions. The extra 2 would have helped tremendously I was not enough and we were starting to get to be solution.,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
77,"9/10 professional, compassionate, caring, good listeners. They all went the extra mile right medication I am making a good recovery.",[0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0.]
78,? Could have a better call out system and quite difficult to hear on a busy day.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
79,A  bit more time. One and half hours was not quite sufficient.,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
80,"A ""one size fits all"" approach is not working for me. I need to receive the care that is suitable for me and is going to fix my problems.",[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
81,A 1st class service and excellent and friendly xray technician.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
82,A 2 hour assessment for someone with memory issues is too long. It should be carried out in 2 parts and at home to help with anxiety.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
83,A Very helpful and friendly person dealt with my care . She was wonderful,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
84,A You tube video of the exercises and breathing techniques would have been very extremely useful.,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
85,A basic level of care and understanding.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
86,A because they were very kind.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
87,A better and correct description of the medication prescribed. I was left confused.,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
88,"A better online app for therapy sessions would have been helpful.  Time was wasted trying to get this to work. It was unfortunate that I couldn't have worked with her face-to-face.

My therapist was very good, and I would happily work with her again, but I felt that the way the therapy would be structured through the sessions wasn't explained clearly.  However, she was empathetic and sensitive - I'm glad I met her!",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
89,A better smell in the building,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.]
90,"A better understanding of whether/which delays in waiting for scans/ treatments etc might or might not affect the outcome. Not knowing causes extra worrying.


Nevertheless, THANK YOU so much for everything.",[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
91,"A big thank you to the team that has taken an exceptional care of me during my OGD procedure on 1st September! Dr Murray, Joseph & Alana were ever so reassuring prior to my procedure! Vic, Amelia & Michael made sure I was welcomed with kindness and they were all very friendly to approach, checking in on me regularly. They have also given me enough time to recover before sending me home. I received very clear after care instructions verbally and on paper to take home.  The team has definitely proven there was no need to be anxious. Exceptional care!!",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1.]
92,A big thank you. Your help really eased my time passing through the stages.,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
93,A bigger room.,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.]
94,A bit difficult to get hold of.,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
95,A bit longer than six weeks.,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
96,A bit longer time wise,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
97,A bit more explanation could have been given. But that's only because I struggle with communication.,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
98,"A bit more info post op about the operation,l did not see a x ray or have a good talk to the doctors about it.",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
